,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
14,"frozenset({'Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA'})","frozenset({'Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA'})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
15,"frozenset({'Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA'})","frozenset({'Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA'})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
170,"frozenset({'Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA'})","frozenset({'Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA'})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
171,"frozenset({'Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA'})","frozenset({'Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA'})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
172,"frozenset({""Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA""})","frozenset({'Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA'})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
173,"frozenset({'Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA'})","frozenset({""Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA""})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
222,"frozenset({""Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA""})","frozenset({'Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA'})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
223,"frozenset({'Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA'})","frozenset({""Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA""})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
264,"frozenset({'Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA', ""Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA""})","frozenset({'Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA'})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
266,"frozenset({""Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA"", 'Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA'})","frozenset({'Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA'})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
267,"frozenset({'Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA'})","frozenset({""Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA"", 'Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA'})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
269,"frozenset({'Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA'})","frozenset({'Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA', ""Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA""})",0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0,18.0,0.05246913580246913,inf
