wine,region,price,Popularity
"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960
"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982
"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993
"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033
"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051
"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092
"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100
"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101
"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114
"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124
"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,$153,1142
"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167
"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186
"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,$75,1205
"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217
"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266
"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291
"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297
"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297
"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302
"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949
"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960
"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982
"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993
"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033
"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,$94,1041
"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051
"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100
"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114
"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124
"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,$153,1142
"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148
"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167
"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186
"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,$75,1205
"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217
"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291
"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297
"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302
"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,$402,1318
"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949
"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960
"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982
"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993
"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033
"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,$94,1041
"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051
"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092
"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100
"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101
"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114
"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124
"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,$153,1142
"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186
"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217
"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266
"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291
"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297
