,,wine,region,price,Popularity
df0,2,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960
df0,3,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982
df0,4,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993
df0,5,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033
df0,7,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051
df0,8,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092
df0,9,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100
df0,10,"Freemark Abbey Napa Valley Cabernet Sauvignon, California, USA",Napa Valley,$45,1101
df0,11,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114
df0,12,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124
df0,14,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,$153,1142
df0,16,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167
df0,17,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186
df0,18,"Inglenook Cabernet Sauvignon, Rutherford, USA",Rutherford,$75,1205
df0,19,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217
df0,20,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266
df0,21,"Staglin Family Vineyard Estate Cabernet Sauvignon, Rutherford, USA",Rutherford,$246,1291
df0,22,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297
df0,23,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297
df0,24,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302
df1,1,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949
df1,2,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960
df1,3,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982
df1,4,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993
df1,5,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033
df1,6,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,$94,1041
