,day,coustomer,wine,region,price,Popularity,bool,bool2
0,day5,a0,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
1,day5,a0,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982,1,1
2,day5,a0,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
3,day5,a0,"Spring Mountain Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1033,1,1
4,day5,a0,"Chimney Rock Cabernet Sauvignon, Stags Leap District, USA",Stags Leap District,$94,1041,1,1
5,day5,a0,"Hall Wines 'Kathryn Hall' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$190,1051,1,1
6,day5,a0,"Corison Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$109,1092,1,1
7,day5,a0,"Franciscan Estate Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$22,1100,1,1
8,day5,a0,"Chaix Rutherford Cabernet Sauvignon, Napa Valley, USA",Rutherford,$80,1114,1,1
9,day5,a0,"Diamond Creek Volcanic Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$244,1124,1,1
10,day5,a0,"PlumpJack Winery Estate Cabernet Sauvignon, Oakville, USA",Oakville,$153,1142,1,1
11,day5,a0,"Sterling Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$28,1148,1,1
12,day5,a0,"Paul Hobbs Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$120,1167,1,1
13,day5,a0,"Paradigm Cabernet Sauvignon, Oakville, USA",Oakville,$82,1186,1,1
14,day5,a0,"Robert Mondavi Winery 'The Reserve' To Kalon Vineyard Cabernet Sauvignon, Oakville, USA",Oakville,$146,1217,1,1
15,day5,a0,"Darioush Signature Series Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$126,1266,1,1
16,day5,a0,"Chappellet Pritchard Hill Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$251,1297,1,1
17,day5,a0,"Chappellet Signature Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$70,1297,1,1
18,day5,a0,"Anderson's Conn Valley Vineyards 'Estate Reserve' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$86,1302,1,1
19,day5,a0,"Lokoya Winery Mount Veeder Cabernet Sauvignon, Napa Valley, USA",Mount Veeder,$402,1318,1,1
20,day5,a1,"Frank Family Vineyards Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$53,949,1,1
21,day5,a1,"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$417,960,1,1
22,day5,a1,"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$156,982,1,1
23,day5,a1,"Stag's Leap Wine Cellars 'S.L.V' Cabernet Sauvignon, Napa Valley, USA",Napa Valley,$173,993,1,1
